,title,director,cast,listed_in,description,lower
2273,Hükümet Kadin 2,Sermiyan Midyat,"Demet Akbağ, Sermiyan Midyat, Mahir İpek, Gülhan Tekin, Burcu Gönder, Mine Şenhuy Teber, Osman Alkaş, Bülent Çolak, Olgun Toker, Doğukan Polat","Comedies, International Movies",1949 freedom threaten housewif hükümet unawar futur life polit face liar mayor hope faruk,hükümet kadin 2
2274,Incir Receli 2,Aytaç Ağırlar,"Halil Sezai Paracıkoğlu, Şafak Pekdemir, Ahmet Uz, Mehmet Selim Akgül, Sinan Çalışkanoğlu, Tuğba Sarıünal","Dramas, International Movies, Romantic Movies",griefstricken death true love singersongwrit metin given life meet gizem slowli reawaken heart,incir receli 2
2275,Kara Bela,Burak Aksak,"Cengiz Bozkurt, Seda Bakan, Erkan Kolçak Köstendil, Cihan Ercan, Berat Yenilmez, İştar Gökseven, Erdal Tosun, Tarık Ünlüoğlu","Comedies, International Movies",unev life middleag kudret turn upsid road trip turn wild race surviv killer hot pursuit,kara bela
2276,Kocan Kadar Konus,Kıvanç Baruönü,"Ezgi Mola, Murat Yıldırım, Gülenay Kalkan, Ebru Cündübeyoğlu, Eda Ece, Begüm Öner, Gül Arıcı, Muhammet Uzuner","Comedies, International Movies, Romantic Movies",30yearold who taken tradit path love tutor friend famili reconnect high school crush,kocan kadar konus
2277,Kocan Kadar Konus 2: Dirilis,Kıvanç Baruönü,"Ezgi Mola, Murat Yıldırım, Gülenay Kalkan, Nevra Serezli, Eda Ece","Comedies, International Movies, Romantic Movies",efsun mr right sinan relationship take turn eccentr famili quickli complic romanc,kocan kadar konus 2: dirilis
2278,Kurtulus Son Durak,Yusuf Pirhasan,"Belçim Bilgin, Demet Akbağ, Asuman Dabak, Ayten Soykök, Damla Sönmez, Mete Horozoğlu, Ahmet Mümtaz Taylan, Yavuz Bingöl, Hüseyin Soysalan, Tolga Karaçelik, Nihal Yalçın","Comedies, Dramas, International Movies",recent singl psychologist move new neighborhood find friendship women start rebel year domest abus,kurtulus son durak
2279,Mucize,Mahsun Kırmızıgül,"Talat Bulut, Mert Turak, Mahsun Kırmızıgül, Erdem Yener, Erol Demiröz, Ali Sürmeli, Meral Çetinkaya, Büşra Pekin","Dramas, International Movies",sent away famili remot mountain town teacher mahir help villag build school – inspir path hope,mucize
2280,Niyazi Gül Dörtnala,Hakan Algül,"Ata Demirer, Demet Akbağ, Şebnem Bozoklu, Levent Ülgen","Comedies, International Movies",seek formula magic elixir bequeath father veterinari professor get embroil mobster horserac scheme,niyazi gül dörtnala
2281,One More Time,,"L, So-hui Yoon, Gi-du Kim, Chang-hwan Kim, Ji Su, Tae-im Lee, Nam-gil Kang","International TV Shows, Korean TV Shows, Romantic TV Shows",fantasi drama follow indi band singer repeatedli undergo unwant time slip girlfriend save unlucki fate,one more time
2282,Patron Mutlu Son Istiyor,Kıvanç Baruönü,"Tolga Çevik, Ezgi Mola, Murat Başoğlu, Erkan Can, Ersin Korkut, Mustafa Uzunyılmaz, Nusret Çetinel, Ayşenur Yazıcı","Comedies, International Movies, Romantic Movies",sent remot villag write screenplay sinan find inspir spare color local farcic misadventur crazi love,patron mutlu son istiyor
2283,Refugee,"Clementine Malpas, Leslie Knott","Cate Blanchett, Lynsey Addario, Omar Victor Diop, Graciela Iturbide, Martin Schoeller, Tom Stoddart",Documentaries,acclaim photograph travel world provid detail insight difficult condit face refuge dream better life,refugee
2284,Romantik Komedi,Ketche,"Sedef Avcı, Cemal Hünal, Begüm Kütük, Engin Altan Düzyatan, Sinem Kobal, Gürgen Öz, Burcu Kara, Kubilay Penbeklioğlu","Comedies, International Movies, Romantic Movies",bore life inspir friend wed esra quit job dump boyfriend lead seri romant misadventur,romantik komedi
2285,Romantik Komedi 2: Bekarlığa Veda,Erol Özlevi,"Sinem Kobal, Engin Altan Düzyatan, Sedef Avcı, Cemal Hünal, Burcu Kara, Gürgen Öz, Öykü Çelik, Gökçe Özyol","Comedies, International Movies, Romantic Movies",didem tri actor cem propos he got thing mind beauti new costar secret bachelor parti,romantik komedi 2: bekarlığa veda
2286,Sadece Sen,Hakan Yonat,"Belçim Bilgin, İbrahim Çelikkol, Kerem Can, Necmi Yapıcı, Levent Sülün, Barış Arduç, Erol Gedik, Cezmi Baskın","Dramas, International Movies, Romantic Movies",exbox fall love blind woman start build new life violent past return endang,sadece sen
2287,Sen Kimsin?,Ozan Açıktan,"Tolga Çevik, Köksal Engür, Pelin Körmükçü, Toprak Sergen, Zeynep Özder","Comedies, International Movies",desper cash klutzi privat investig tekin search wealthi woman miss girl face surpris mishap,sen kimsin?
2288,The Boss's Daughter,Olivier Loustau,"Christa Théret, Olivier Loustau, Florence Thomassin, Patrick Descamps, Stéphane Rideau, Pierre Berriau, Deborah Grall, Vincent Martinez","Dramas, International Movies, Romantic Movies",work marri textil foreman boss ’ s daughter torrid love affair stir hostil factori crew,the boss's daughter
2289,The Butterfly's Dream,Yılmaz Erdoğan,"Kıvanç Tatlıtuğ, Mert Fırat, Belçim Bilgin, Farah Zeynep Abdullah, Yılmaz Erdoğan, Ahmet Mümtaz Taylan, Taner Birsel, Selman Ünlüsoy, İpek Bilgin, Aksel Bonfil, Devrim Yakut, Salih Kalyon","Dramas, International Movies, Romantic Movies",forc work coal world war ii young poet escap fall woman,the butterfly's dream
2290,Vizontele,"Yılmaz Erdoğan, Ömer Faruk Sorak","Yılmaz Erdoğan, Demet Akbağ, Altan Erkekli, Cem Yılmaz, Cezmi Baskın, Bican Günalan, Sebnem Sönmez, İclal Aydın, Mesut Çakarli, Zeynep Tokuş","Comedies, Dramas, International Movies",1974 rural town anatolia get televis set – event that met excit trepid villag,vizontele
2291,Vizontele Tuuba,Yılmaz Erdoğan,"Yılmaz Erdoğan, Tarık Akan, Altan Erkekli, Cezmi Baskın, İclal Aydın, Demet Akbağ, Tuba Ünsal, Tolga Çevik","Comedies, Dramas, International Movies",civil war loom tvobsess turkish town bemus bureaucrat daughter arriv modern librari,vizontele tuuba
2292,"2,215",Nottapon Boonprakob,Artiwara Kongmalai,"Documentaries, International Movies, Sports Movies",intim documentari follow rock star artiwara kongmalai histor 2215kilomet chariti run thailand 2017,"2,215"
2293,An Interview with God,Perry Lang,"Brenton Thwaites, David Strathairn, Hill Harper, Charlbi Dean, Yael Grobglas","Dramas, Faith & Spirituality",assign war zone journalist tri life grant interview claim god,an interview with god
2294,BNK48: Girls Don't Cry,Nawapol Thamrongrattanarit,,"Documentaries, International Movies, Music & Musicals",member thai idol girl group bnk48 open experi spotlight train natur fame,bnk48: girls don't cry
2295,Budapest,Xavier Gens,"Manu Payet, Jonathan Cohen, Monsieur Poulpe, Alice Belaïdi, Alix Poisson","Comedies, International Movies",best friend career marriag line launch busi host outrag anythinggo bachelor parti hungari,budapest
2296,Christmas in the Smokies,Gary Wheeler,"Sarah Lancaster, Barry Corbin, Alan Powell, Jill Wagner, Danny Vinson, Gregory Alan Williams, Rebecca Koon, Brett Rice","Children & Family Movies, Dramas, Romantic Movies",smoki mountain ambiti woman work save famili histor berri farm ex countri music star return town,christmas in the smokies
2297,Cricket Fever: Mumbai Indians,,,"Docuseries, International TV Shows",follow indian premier leagu champion mumbai indian 2018 season seri featur insid insight intens cricket action,cricket fever: mumbai indians
2298,"Crouching Tiger, Hidden Dragon",Ang Lee,"Chow Yun Fat, Michelle Yeoh, Zhang Ziyi, Chang Chen, Lung Hsiung, Cheng Pei-pei, Fa Zeng Li, Xian Gao, Yan Hai, De Ming Wang","Action & Adventure, International Movies, Romantic Movies",young woman ancient china long adventur life dull arrang marriag ang lee oscarwin martial art epic,"crouching tiger, hidden dragon"
2299,Dead in a Week (Or Your Money Back),Tom Edmunds,"Tom Wilkinson, Aneurin Barnard, Freya Mavor, Marion Bailey, Christopher Eccleston, Nigel Lindsay, Velibor Topic",Comedies,fail attempt take life young man hire age assassin who ’ ll fend retir,dead in a week (or your money back)
2300,Doomsday Preppers,,Michael Izquierdo,"Reality TV, Science & Nature TV",seri highlight divers group survivalist prepar catastroph scenario caus civil collaps,doomsday preppers
2301,Haunting on Fraternity Row,Brant Sersen,"Jacob Artist, Jayson Blair, Shanley Caswell, Claudia Lee, Ashton Moio, Cameron Moulene, Molly Tarlov, Chester Rushing","Horror Movies, Independent Movies",fratern big luau serv horribl death partygo brother learn firsthand hous ’ s frighten histori,haunting on fraternity row
2302,Hulk Vs.,"Sam Liu, Frank Paur","Fred Tatasciore, Matthew Wolf, Graham McTavish, Grey DeLisle, Kari Wahlgren, Bryce Johnson, Janyse Jaud, Jay Brazeau, Jonathan Holmes, Paul Dobson, Michael Adamthwaite, French Tickner, Nicole Oliver, Qayam Devji, Steve Blum, Mark Acheson, Colin Murdock, Nolan North, Tom Kane","Action & Adventure, Sci-Fi & Fantasy",actionpack anim doubl featur pit hulk marvel univers power charact wolverin thor,hulk vs.
2303,Junebug,Phil Morrison,"Amy Adams, Embeth Davidtz, Ben McKenzie, Alessandro Nivola, Frank Hoyt Taylor, Celia Weston, Scott Wilson, Jill Wagner, Victoria Jackson, Chuck Russell, Jerry Minor, Matt Besser","Comedies, Dramas, Independent Movies",bigciti art dealer travel north carolina meet new husband smalltown famili trip give rise multitud problem,junebug
2304,Kilo Two Bravo,Paul Katis,"David Elliot, Mark Stanley, Scott Kyle, Benjamin O'Mahony, Bryan Parry, Liam Ainsworth, Andy Gibbins, John Doughty, Paul Luebke, Thomas Davison, Grant Kilburn, Robert Mitchell, Jon-Paul Bell, Malachi Kirby, Ali Cook","Dramas, Independent Movies, Thrillers",patrol afghanistan british paratroop unit unwittingli ventur dri riverb turn litter land mine,kilo two bravo
2305,Layer Cake,Matthew Vaughn,"Daniel Craig, Colm Meaney, Kenneth Cranham, Sienna Miller, Tom Hardy, Michael Gambon, George Harris, Jamie Foreman, Marcel Iures, Ben Whishaw, Tamer Hassan","Independent Movies, International Movies, Thrillers",season british drug dealer long ditch illeg trade wrap job,layer cake
2306,Losers,,,Docuseries,win societi handl failur seri profil athlet turn agoni defeat human triumph,losers
2307,Northern Rescue,,"William Baldwin, Kathleen Robertson, Spencer MacPherson, Taylor Thorne, Amalia Williamson, Michelle Nolden, Peter MacNeill, Natalie Lisinska",TV Dramas,sudden death wife search rescu command john west reloc kid rural hometown turtl island bay,northern rescue
2308,Pants on Fire,Jonathan A. Rosenbaum,"Bradley Steven Perry, Joshua J. Ballard, Tyrel Jackson Williams, Brittney Wilson, Taylor Russell, Nicholas Coombe, Rachelle Gillis, Kevin O'Grady","Children & Family Movies, Comedies",jealou girlfriend alien thing jack lie popular lie come life ruin,pants on fire
2309,Paranormal Investigation,Franck Phelizon,"Andrei Indreies, Jean-Baptiste Heuet, Jose Atuncar, Pierre Porquet, Claudine Bertin, Gabriella Jordan, Effie Rey, Catalin Morar, Antoine Rodriguez","Horror Movies, International Movies, Thrillers",young man possess play ouija game ghost hunter investig evil spirit dwell,paranormal investigation
2310,Radio Rebel,Peter Howitt,"Debby Ryan, Sarena Parmar, Adam DiMarco, Merritt Patterson, Nancy Robertson","Children & Family Movies, Comedies",shi student tara secret ident smoothtalk radio rebel dj lend voic kid popular unpopular alik,radio rebel
2311,Room for Rent,Matthew Atkinson,"Brett Gelman, Mark Little, Carla Gallo, Stephnie Weir, Patrick J. Adams, Mark McKinney","Comedies, Independent Movies",save parent ’ home lotterysquand 32yearold man sublet room disarmingli creepi tenant,room for rent
2312,Sarvam Thaala Mayam (Tamil Version),Rajiv Menon,"G.V. Prakash Kumar, Nedumudi Venu, Aparna Balamurali, Divyadarshini, Vineeth, Kumaravel, Ravi Prakash, Sumesh","Dramas, International Movies, Music & Musicals",aspir musician battl ageold cast divid abl learn art classic instrument traditionalist veteran percussionist,sarvam thaala mayam (tamil version)
2313,The Boy Who Harnessed the Wind,Chiwetel Ejiofor,"Maxwell Simba, Chiwetel Ejiofor, Aïssa Maïga, Lily Banda, Lemogang Tsipa, Philbert Falakeza, Joseph Marcell, Noma Dumezweni","Children & Family Movies, Dramas, Independent Movies",inspir scienc book 13yearold william kamkwamba build wind turbin save malawian villag famin base true stori,the boy who harnessed the wind
2314,The Christmas Project,Michael Buster,"Jacob Buster, Anson Bagley, Grace Hallows, Josh Reid, Cooper Daniel Johnson, Alison Akin Clark, Brian Neal Clark, Evan Clark, Caitlin E.J. Meyer, Gabe White","Children & Family Movies, Comedies",brother prepar war theyr forc deliv secret holiday gift school bulli soon learn kind goe long way,the christmas project
2315,The Incredible Story of the Giant Pear,"Philip Einstein Lipski, Jørgen Lerdam, Amalie Næsby Fick","Paul Tylak, Susie Power, Roger Gregg, Dermot Magennis, Marcus Lamb, J. Drew Lucas",Children & Family Movies,sebastian eleph felin friend mithco sail gigant peach rescu sunnytown belov mayor who strand mysteri island,the incredible story of the giant pear
2316,The Last Runway,"Rodrigo Salomón, Pietro Scappini","Luis Aguirre, Andrea Quattrocchi, Silvio Rodas, Felix Medina, Gonzalo Vivanco, Bruno Sosa, Andrea Frigerio, Mauricio A. Jortack, Rafael Rojas Doria, Roberto Weiss, Fabio Chamorro, Sergio Quiñonez Román, David Gerber","Action & Adventure, International Movies",excolonel form special paramilitari group focus combat drug traffick paraguayan border,the last runway
2317,The Spiderwick Chronicles,Mark Waters,"Freddie Highmore, Mary-Louise Parker, Sarah Bolger, Joan Plowright, David Strathairn, Nick Nolte, Seth Rogen, Andrew McCarthy, Martin Short",Children & Family Movies,cityrais twin tumbledown countri mansion adjust – especi uncov magic fantasi world,the spiderwick chronicles
2318,ThirTEEN Terrors,,"Thanapatpisal Sananthachat, Panisara Montharat, Sutatta Udomsilp, Teetatch Ratanasritai, Fame Chawin Likitjareonpong, Paladesh Kemisara, Thiti Mahayotaruk, Napat Chokejindachai, Um Apasiri Nitibhon, Skye Nateeton Wongrawee, Narikun Ketprapakorn, Sirinya Tantipongwatana, Chutavuth Pattarakampol, Thanyanan Pipatchaisiri, Sirachuch Chienthaworn, Jirayus Khawbaimai, Gunn Junhavat, Pavadee Komchokpaisan, Nichaphat Chatchaipholrat, Natthida Trichaiya, Kanyawee Songmuang, Claudine Craig, Sarit Trilertvichien, Teeradon Supapunpinyo, Narupornkamol Chaisang, Atthaphan Poonsawas, Oabnithi Wiwattanawarang","International TV Shows, TV Horror, TV Mysteries",group teen search dark truth school mysteri brutal histori,thirteen terrors
2319,Tyson,James Toback,"Mike Tyson, Trevor Berbick","Documentaries, Sports Movies",surprisingli emot documentari heavyweight champ mike tyson analyz controversi surround career turbul privat life,tyson
2320,Wet Hot American Summer,David Wain,"Janeane Garofalo, David Hyde Pierce, Michael Showalter, Marguerite Moreau, Michael Ian Black, Zak Orth, A.D. Miles, Paul Rudd, Christopher Meloni, Molly Shannon, Ken Marino, Joe Lo Truglio, Amy Poehler, Bradley Cooper, Gideon Jacobs, Elizabeth Banks","Comedies, Cult Movies, Independent Movies",want final shot action day camp firewood campi 1980 summercamp spoof creator state,wet hot american summer
2321,Winter's Bone,Debra Granik,"Jennifer Lawrence, John Hawkes, Kevin Breznahan, Dale Dickey, Garret Dillahunt, Sheryl Lee, Lauren Sweetser, Tate Taylor","Dramas, Independent Movies",unflinch noir drama resili teen goe trail miss drugdeal father absenc threaten famili safeti,winter's bone
2322,Your Son,Miguel Ángel Vivas,"José Coronado, Ana Wagener, Asia Ortega, Pol Monen, Ester Expósito","Dramas, International Movies, Thrillers",son brutal beaten outsid nightclub surgeon take law hand seek vengeanc perpetr,your son
2323,21 Thunder,,"Stephanie Bennett, Emmanuel Kabongo, RJ Fetherstonhaugh, Andres Joseph, Kevin Claydon, Conrad Pla, Clark Backo, Ryan Pierce, Eileen Li, Susan Bain, Cristina Rosato, Jonathan Kim, Colm Feore","Crime TV Shows, International TV Shows, TV Dramas",player coach montreal soccer team chase dream stardom person live erupt love fear passion violenc,21 thunder
2324,2307: Winter's Dream,Joey Curtis,"Paul Sidhu, Arielle Holmes, Branden Coles, Kelcey Watson, Anne-Solenne Hatte, Brad Potts, Timothy Lee DePriest, Fernando Argosino, Duchess Dukes, Harwood Gordon, Stormi Henley","Action & Adventure, Independent Movies, Sci-Fi & Fantasy",frozen tundra futurist arizona human forc underground soldier hunt bioengin leader rebellion,2307: winter's dream
2325,Adel Karam: Live from Beirut,,Adel Karam,Stand-Up Comedy,casino du liban lebanes actor comedian adel karam deliv earthi punchlin kiss norm colonoscopi porn star name rocco,adel karam: live from beirut
2326,Ai Weiwei: Never Sorry,Alison Klayman,"Ai Weiwei, Lao Ai",Documentaries,chines artist activist ai weiwei use social media art inspir protest suffer govern persecut action,ai weiwei: never sorry
2327,Aitraaz,"Abbas Alibhai Burmawalla, Mastan Alibhai Burmawalla","Akshay Kumar, Kareena Kapoor, Priyanka Chopra, Amrish Puri, Paresh Rawal, Annu Kapoor","International Movies, Music & Musicals, Romantic Movies",happili marri busi execut forc deal episod past long thought,aitraaz
2328,Bachelor Girls,Shikha Makan,,"Documentaries, International Movies",intim interview documentari explor stigma face independ women seek hous modern mumbai,bachelor girls
2329,Balu Mahi,Haissam Hussain,"Osman Khalid Butt, Ainy Jaffri, Sadaf Kanwal, Khurram Patras, Ali Sheikh, Zeeshan Ali, Durdana Butt, Shafqat Cheema, Adeel Hashmi, Javed Sheikh","International Movies, Romantic Movies",determin stop exgirlfriend marri young man crash wrong wed meet bride look run away,balu mahi
2330,Battle Drone,Mitch Gould,"Louis Mandylor, Daniel Southworth, Richard Alan Reid, Oleg Taktarov, Natassia Malthe, Jason Earles, Dominique Swain, Michael Paré","Action & Adventure, Independent Movies, Sci-Fi & Fantasy",team mercenari work cia accept offthebook mission chernobyl deadli humancontrol droid prepar ambush,battle drone
2331,Boom,Kaizad Gustad,"Amitabh Bachchan, Gulshan Grover, Jackie Shroff, Javed Jaffrey, Katrina Kaif, Madhu Sapre, Padma Lakshmi, Seema Biswas, Zeenat Aman, Boman Irani","Action & Adventure, Dramas, International Movies",follow fashion mishap supermodel run danger gangster tri recov fortun stolen diamond,boom
2332,Company,Ram Gopal Varma,"Ajay Devgn, Vivek Oberoi, Mohanlal, Manisha Koirala, Seema Biswas, Antara Mali, Akash Khurana, Madan Joshi, Vijay Raaz, Rajpal Yadav","Action & Adventure, Dramas, International Movies",follow misunderstand gangster boss way bitter enemi – devast consequ,company
2333,Darr Sabko Lagta Hai,,Bipasha Basu,"International TV Shows, TV Horror, TV Thrillers",chill horror antholog seri actress model bipasha basu meet peopl disconcert paranorm experi,darr sabko lagta hai
2334,Deathgrip,Clay Porter,"Brendan Fairclough, Olly Wilkins, Kyle Jameson, Andrew Neethling, Nico Vink, Ryan Howard, Sam Hill, Josh Bryceland, Brandon Semenuk","International Movies, Sports Movies",mountain biker – includ legend brendan fairclough – skill test engag dare feat set vivid backdrop,deathgrip
2335,Dil Se,Mani Ratnam,"Shah Rukh Khan, Manisha Koirala, Preity Zinta, Raghuvir Yadav, Zohra Sehgal, Sabyasachi Chakraborty, Piyush Mishra, Krishnakant, Aditya Srivastava","Dramas, International Movies, Romantic Movies",radio broadcast intens attract mysteri woman open door tidal wave power emot desir,dil se
2336,Dum,Eeshwar Nivas,"Vivek Oberoi, Diya Mirza, Atul Kulkarni, Govind Namdeo, Mukesh Rishi, Sushant Singh, Yashpal Sharma, Sheeba","Action & Adventure, Dramas, International Movies",colleagu corrupt power goe dark young polic offic tri bring offend justic,dum
2337,Elles étaient en guerre 1939-1945,"Hugues Nancy, Fabien Beziat",,"Documentaries, International Movies",mother nurs soldier deporte – women fought persecut freedom surviv amid turbul world war ii,elles étaient en guerre 1939-1945
2338,Grand Masti,Indra Kumar,"Riteish Deshmukh, Vivek Oberoi, Aftab Shivdasani, Suresh Menon, Manjari Fadnis, Sonalee Kulkarni, Karishma Tanna, Kainaat Arora, Bruna Abdullah, Maryam Zakaria, Pradeep Singh Rawat","Comedies, International Movies, Music & Musicals",leav wive home randi friend look forward raunchi extramarit fun colleg reunion,grand masti
2339,Guru,Mani Ratnam,"Abhishek Bachchan, Mithun Chakraborty, Aishwarya Rai Bachchan, Madhavan, Vidya Balan, Roshan Seth, Arya Babbar, Sachin Khedekar, Dhritiman Chatterjee, Manoj Joshi","Dramas, International Movies",ambiti guruk desai ignor father advic leav villag success turkey,guru
2340,Hamara Dil Aapke Paas Hai,Satish Kaushik,"Anil Kapoor, Aishwarya Rai Bachchan, Sonali Bendre, Puru Rajkumar, Anupam Kher, Satish Kaushik, Mukesh Rishi, Jaspal Bhatti, Razak Khan, Himani Shivpuri, Smita Jaykar, Tanaaz Currim Irani","Dramas, International Movies, Music & Musicals",love bloom kindheart avinash take preeti woman shun societi unorthodox live situat creat stir neighbor,hamara dil aapke paas hai
2341,Hans Zimmer: Live in Prague,Tim Van Someren,Hans Zimmer,"International Movies, Music & Musicals",concert film oscarwin compos han zimmer perform icon movi score sellout crowd o2 arena pragu,hans zimmer: live in prague
2342,Haseena Maan Jaayegi,David Dhawan,"Sanjay Dutt, Govinda, Karisma Kapoor, Pooja Batra, Kader Khan, Paresh Rawal, Satish Kaushik, Aruna Irani, Anupam Kher, Ashish Vidyarthi, Aashif Sheikh, Asrani, Razak Khan, Shakti Kapoor, Bindu, Mahavir Shah, Mohan Joshi, Anil Dhawan","Action & Adventure, Comedies, Dramas",millionair open door comic complic punish spoil son tri money shadi getrichquick scheme,haseena maan jaayegi
2343,Hide & Seek,Shawn Arranha,"Purab Kohli, Arjan Bajwa, Mrinalini Sharma, Sameer Kochhar, Ayaz Khan, Amruta Patki, Pavail Gulati, Prashant, Amol Mhatre","Horror Movies, International Movies, Thrillers",year accid wild christma parti traumat friend trap shop mall forc killer disguis santa clau play lethal game hideandseek,hide & seek
2344,Inconceivable,Jonathan Baker,"Gina Gershon, Faye Dunaway, Nicolas Cage, Nicky Whelan, Natalie Eva Marie, Jonathan Baker, James Van Patten",Thrillers,coupl tri conceiv invit woman mysteri past invit come regret,inconceivable
2345,Insan,K. Subhash,"Akshay Kumar, Ajay Devgn, Tusshar Kapoor, Esha Deol, Lara Dutta, Laila, Rahul Dev, Koena Mitra, Archana Puran Singh, Sharat Saxena","Action & Adventure, Dramas, International Movies",griev policeman rickshaw driver brought dark tragic secret chang live forev,insan
2346,Iqbal,Nagesh Kukunoor,"Shreyas Talpade, Naseeruddin Shah, Girish Karnad, Shweta Prasad, Yatin Karyekar, Prateeksha Lonkar, Dilip Salgaonkar, Jyoti Joshi, Aadarsh Balakrishna, Gururaj Manepalli","Dramas, Independent Movies, International Movies",boy hear speech impair – extraordinari athlet abil – chase lifelong dream play cricket india,iqbal
2347,Ishqedarriyaan,V. K. Prakash,"Suhasini Mulay, Kavin Dave, Evelyn Sharma","Dramas, International Movies, Romantic Movies",young millionair will schoolteach love happi mean help marri,ishqedarriyaan
2348,Issaq,Manish Tiwary,"Prateik, Amyra Dastur, Ravi Kishan, Prashant Narayanan, Rajeshwari Sachdev, Neena Gupta, Makarand Deshpande, Vineet Kumar Singh, Amit Sial, Prashantt Guptha, Sudhir Pandey, Evelyn Sharma, Sandeep Bose","Dramas, International Movies, Music & Musicals",young lover banara caught crossfir feud power famili polit climat destroy citi,issaq
2349,Judwaa 2,David Dhawan,"Varun Dhawan, Jacqueline Fernandez, Tapsee Pannu, Rajpal Yadav, Sachin Khedekar, Anupam Kher, Zakir Hussain, Pavan Malhotra","Action & Adventure, Comedies, International Movies",separ birth twin raja prem differ fate put london start mistaken,judwaa 2
2350,Kaakan,Kranti Redkar,"Jitendra Joshi, Urmila Kanitkar, Ashutosh Gaikwad, Ashok Shinde, Madhavi Juvekar","Dramas, International Movies, Romantic Movies",starcross lover differ social strata struggl overcom differ class famili expect long separ,kaakan
2351,Kalki,Dhilip Kumar,"Kishore Kumar G., Yasmin Ponnappa, Mithraboomi Saravanan","Dramas, Independent Movies, International Movies",scientist tri solv univers greatest puzzl begin romanc younger colleagu that haunt dark secret,kalki
2352,Kanika,,"Sharad Ponkshe, Smita Shewale","Horror Movies, International Movies, Thrillers",doctor colleagu use sexdetermin test uneth end face retribut supernatur victim seek vengeanc,kanika
2353,Khalnayak,Subhash Ghai,"Sanjay Dutt, Madhuri Dixit, Jackie Shroff, Anupam Kher, Rakhee Gulzar, Pramod Moutho, Ramya Krishnan, Sushmita Mukherjee, Neena Gupta, A.K. Hangal","Action & Adventure, Dramas, International Movies",prison guard goe undercov dancer tri recaptur escap crimin restor polic inspector boyfriend reput,khalnayak
2354,Khushi,"Surya S.J., Sunil Kumar Agrawal","Fardeen Khan, Kareena Kapoor, Amrish Puri, Navin Nischol, Beena, Anup Soni, Johnny Lever, Sharat Saxena, Amitabh Bachchan, Sakshi Shivanand","Comedies, International Movies, Music & Musicals",play matchmak pair friend young univers student begin develop feel,khushi
2355,Kyun! Ho Gaya Na,Samir Karnik,"Aishwarya Rai Bachchan, Vivek Oberoi, Amitabh Bachchan, Om Puri, Rati Agnihotri, Sunil Shetty, Tinnu Anand, Rahul Singh","International Movies, Romantic Movies",cinemat lovebird aishwarya rai vivek oberoi star love stori sweet young girl diya brought widow father coffe plantat villag coorg,kyun! ho gaya na
2356,LA 92,"Daniel Lindsay, T.J. Martin",,Documentaries,previous unseen footag shape fresh time retel 1992 rodney king trial – verdict spark civil unrest,la 92
2357,Laal Rang,Syed Ahmad Afzal,"Randeep Hooda, Piaa Bajpai, Jaihind Kumar, Akshay Oberoi, Rajneesh Duggal, Ashutosh Kaushik, Meenakshi Dixit, Shreya Narayan, Rajendra Sethi","Dramas, International Movies, Thrillers",eager cash rajesh join friend shankar bloodtheft oper rajesh greed grow cop close shankar pois explod,laal rang
2358,Love Beats Rhymes,RZA,"Azealia Banks, Lucien Laviscount, Jill Scott, Common, Lorraine Toussaint, Hana Mae Lee, Jeremie Harris","Dramas, Romantic Movies",enrol colleg poetri cours struggl rapper find inspir new voic slam poetri,love beats rhymes
2359,Mahi Way,,"Pushtii Shakti, Viraf Patel, Siddhant Karnick, Monica Khanna, Amrita Raichand, Suparna Marwah, Mark Farokh Parekh","International TV Shows, TV Comedies",worri she doom singl forev mahi embrac vivaci creativ natur work tame inner critic,mahi way
2360,Monster High 13 Wishes,Steve Sacks,"Erin Fitzgerald, Missi Hale, Marcus Griffin, Celeste Henderson, Evan Smith, Cindy Robinson, Julie Maddalena, Cam Clarke, Jonquil Goode",Children & Family Movies,new school year monster high littl sister clawdeen wolf howleen determin fangtast,monster high 13 wishes
2361,Monster High: Ghouls Rule,"Mike Fetterly, Steve Sacks","Laura Bailey, Hank Banks, Cam Clarke, Erin Fitzgerald, Dee Dee Green, Kate Higgins, Andrew Duncan",Children & Family Movies,learn monster normi spend halloween franki stein pal ralli group fright good time,monster high: ghouls rule
2362,No Entry,Anees Bazmee,"Anil Kapoor, Salman Khan, Fardeen Khan, Bipasha Basu, Lara Dutta, Esha Deol, Celina Jaitly, Boman Irani","Comedies, International Movies",prank goe sideway buddi relationship – women – test unexpect way,no entry
2363,Pardes,Subhash Ghai,"Shah Rukh Khan, Amrish Puri, Mahima Chaudhry, Apoorva Agnihotri, Alok Nath, Himani Shivpuri, Padmavati Rao, Madhuri Bhatia, Dina Pathak, Benu Kalsi, Anand Balraj, Ajay Nagrath, Deepak Qazir, Shashi Sharma, Smita Jaykar, Pavan Malhotra, Aditya Narayan, Subhash Ghai","Dramas, International Movies, Romantic Movies",prompt loyalti arjun play matchmak philand foster brother conserv girl wind fall love,pardes
2364,Pitaah,Mahesh Manjrekar,"Sanjay Dutt, Nandita Das, Om Puri, Jackie Shroff, Mita Vashisht, Sachin Khedekar, Anjan Srivastav, Dinesh Anand, Mink Singh, Siddharth","Dramas, International Movies, Music & Musicals",thakur avadh evil landlord remot villag rule iron fist son live debauch life know father bail scrape,pitaah
